date,season,matchday,goalkeeper,penaltytaker,homegame,result,minute,goaldiff,gkclub,ptclub,gkage,ptage,gkexp,ptexp
-1839.0,64/65,16.0,"Fahrian, Wolfgang","Sturm, Hans",2.0,Pfosten,21.0,-3.0,Hertha BSC,1.FC Köln,23.0,29.0,2.0,3.0
-1825.0,64/65,17.0,"Bernard, Günter","Moll, Jürgen",1.0,gehalten,69.0,-1.0,SV Werder Bremen,Eintracht Braunschweig,25.0,25.0,1.0,3.0
-1818.0,64/65,18.0,"Wabra, Roland","Rehhagel, Otto",1.0,Tor,68.0,2.0,1.FC Nürnberg,Hertha BSC,29.0,26.0,2.0,1.0
-1818.0,64/65,18.0,"Wessel, Bernhard","Höller, Dieter",1.0,gehalten,77.0,-1.0,Borussia Dortmund,VfB Stuttgart,28.0,25.0,3.0,2.0
-1804.0,64/65,19.0,"Tillich, Wolfgang","Cyliax, Gerhard",1.0,Pfosten,87.0,-3.0,Hertha BSC,Borussia Dortmund,25.0,30.0,1.0,3.0
-1797.0,64/65,20.0,"Toth, Gyula","Reisch, Stefan",2.0,Tor,37.0,1.0,FC Schalke 04,1.FC Nürnberg,23.0,23.0,0.0,2.0
-1797.0,64/65,20.0,"Toth, Gyula","Reisch, Stefan",2.0,Tor,63.0,0.0,FC Schalke 04,1.FC Nürnberg,23.0,23.0,0.0,2.0
-1783.0,64/65,21.0,"Toth, Gyula","Straschitz, Hermann",1.0,Tor,27.0,-1.0,FC Schalke 04,Borussia Dortmund,23.0,24.0,0.0,3.0
-1776.0,64/65,22.0,"Tepe, Wilfried","Rehhagel, Otto",2.0,Tor,35.0,-3.0,TSV 1860 München,Hertha BSC,24.0,26.0,0.0,1.0
-1776.0,64/65,22.0,"Jäcker, Hans","Benthaus, Helmut",2.0,Tor,37.0,1.0,Eintracht Braunschweig,1.FC Köln,32.0,29.0,3.0,2.0
-1776.0,64/65,22.0,"Toth, Gyula","Hoffmann3, Theodor",2.0,Tor,75.0,3.0,FC Schalke 04,VfB Stuttgart,23.0,24.0,0.0,2.0
-1776.0,64/65,22.0,"Sawitzki, Günter","Kreuz2, Manfred",1.0,gehalten,78.0,-2.0,VfB Stuttgart,FC Schalke 04,32.0,29.0,2.0,3.0
